,rmse,mae,nll,ce
Uni-Mol_none,5,7,15,22
Uni-Mol_MCDropout,3,4,16,23
Uni-Mol_SWAG,6,10,19,24
Uni-Mol_BBP,4,5,2,5
Uni-Mol_SGLD,1,1,1,7
Uni-Mol_DeepEnsembles,2,3,9,20
GROVER_none,12,14,11,10
GROVER_MCDropout,13,16,13,9
GROVER_SWAG,14,15,18,15
GROVER_BBP,24,24,20,2
GROVER_SGLD,19,20,4,3
GROVER_DeepEnsembles,9,13,7,8
ChemBERTa_none,22,21,23,19
ChemBERTa_MCDropout,15,17,21,17
ChemBERTa_SWAG,20,19,24,21
ChemBERTa_BBP,23,23,8,6
ChemBERTa_SGLD,21,22,17,13
ChemBERTa_DeepEnsembles,18,18,22,16
DNN-rdkit_none,8,6,12,14
DNN-rdkit_MCDropout,10,9,14,18
DNN-rdkit_SWAG,11,8,10,12
DNN-rdkit_BBP,16,11,3,4
DNN-rdkit_SGLD,17,12,5,1
DNN-rdkit_DeepEnsembles,7,2,6,11
